Name;Adresse;Email;Telefon;Fax;Webseite;Kategorien
Kufsteiner Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Kußmaulstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Langemarckstraße;;;;;;Wertstoffcontainer,Glascontainer
Laufener Straße;;;;;;Wertstoffcontainer,Glascontainer
Lehener Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Lerchenstraße;;;;;;Wertstoffcontainer,Glascontainer
Lindenstraße;;;;;;Wertstoffcontainer,Glascontainer
Littenweilerstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Ludwigstraße;;;;;;Wertstoffcontainer,Glascontainer
Löhrstraße;;;;;;Wertstoffcontainer,Glascontainer
Lörracher Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Lörracher Straße;;;;;;Wertstoffcontainer,Glascontainer
Malteserordensstraße;;;;;;Wertstoffcontainer,Glascontainer
Markgrafenstr.;;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Elektrokleingerätecontainer
Mathias-Blank-Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Mathildenstraße;;;;;;Wertstoffcontainer,Glascontainer
Meckelhof;;;;;;Wertstoffcontainer,Glascontainer
Merzhauser Straße;;;;;;Wertstoffcontainer,Glascontainer
Merzhauser Straße;;;;;;Wertstoffcontainer,Glascontainer
Mitscherlichstraße;;;;;;Wertstoffcontainer,Glascontainer
Mooswaldallee;;;;;;Wertstoffcontainer,Glascontainer
Mundenhof;;;;;;Wertstoffcontainer,Glascontainer
Mühlhauser Straße;;;;;;Wertstoffcontainer,Glascontainer
Müllheimer Straße;;;;;;Wertstoffcontainer,Glascontainer
Neuhäuserstraße;;;;;;Wertstoffcontainer,Glascontainer
Neunlindenstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Nonnenmattenweg;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Oberau;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Oltmannstraße;;;;;;Wertstoffcontainer,Glascontainer
Otto-Wels-Str.;;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Elektrokleingerätecontainer
Otto-Wels-Str.;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Paul-Ehrlich-Straße;;;;;;Wertstoffcontainer,Glascontainer
Pochgasse;;;;;;Wertstoffcontainer,Glascontainer
Quäkerstraße;;;;;;Wertstoffcontainer,Glascontainer
Raiffeisenstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Rankackerweg;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Recyclinghof Carl-Mez-Straße;Recyclinghof Carl-Mez-Straße<br>Carl-Mez-Straße 50<br>79114 Freiburg;;;;;Recyclinghöfe,Wertstoffcontainer,Glascontainer,Kleidercontainer,Elektrokleingerätecontainer,Schnittgutplätze,Ausgabestellen Abfallsäcke,Ausgabestellen Gelbe Säcke,Ausgabestellen Restabfallsäcke,Bioabfall-Papiertüte
Recyclinghof Schnaitweg;Recyclinghof Schnaitweg<br>Schnaitweg 7<br>79117 Freiburg;;;;;Recyclinghöfe,Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Metallcontainer,Elektrokleingerätecontainer,Schnittgutplätze,Ausgabestellen Abfallsäcke,Ausgabestellen Gelbe Säcke,Ausgabestellen Restabfallsäcke,Bioabfall-Papiertüte
Recyclinghof St. Gabriel;Recyclinghof St. Gabriel<br>Liebigstraße<br>79108 Freiburg;;;;;Recyclinghöfe,Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Metallcontainer,Elektrokleingerätecontainer,Schnittgutplätze,Ausgabestellen Abfallsäcke,Ausgabestellen Gelbe Säcke,Ausgabestellen Restabfallsäcke,Bioabfall-Papiertüte
Rheinstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Richard-Wagner-Straße;;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Elektrokleingerätecontainer
Richard-Wagner-Straße;;;;;;Wertstoffcontainer,Glascontainer
Richthofenstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Riedmatten;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Robert-Bunsen-Straße;;;;;;Wertstoffcontainer,Glascontainer
Robert-Bunsen-Straße;;;;;;Wertstoffcontainer,Glascontainer
Rohrgraben;;;;;;Wertstoffcontainer,Glascontainer
Rotteckring;;;;;;Wertstoffcontainer,Glascontainer
Ruhbankweg;;;;;;Glascontainer
Runzmattenweg;;;;;;Wertstoffcontainer,Glascontainer
Sandfangweg;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Schauinslandstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Schlettstadter Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Schlierbergsteige;;;;;;Wertstoffcontainer,Glascontainer
Schlierbergstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Schlossbergring;;;;;;Wertstoffcontainer,Glascontainer
Schlossbuck;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Schlüsselstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Schneeburgstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Schnittgutplatz Günterstal;;;;;;Glascontainer,Kleidercontainer,Elektrokleingerätecontainer,Schnittgutplätze
Schnittgutplatz Lehen;Am Silberhof 6<br>79111 Freiburg;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Metallcontainer,Elektrokleingerätecontainer,Schnittgutplätze
Schnittgutplatz Munzingen;Magdalénienstraße<br>79112 Freiburg;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Metallcontainer,Elektrokleingerätecontainer,Schnittgutplätze
Schnittgutplatz Tiengen;Tiengen<br>79112 Freiburg;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Elektrokleingerätecontainer,Schnittgutplätze
Schnittgutplatz Waltershofen;Burgmatt<br>79112 Freiburg;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Elektrokleingerätecontainer,Schnittgutplätze
Schreiberstraße;;;;;;Wertstoffcontainer,Glascontainer
Schulhalde;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Schwarzwaldstraße;;;;;;Wertstoffcontainer,Glascontainer
Schwarzwaldstraße;;;;;;Wertstoffcontainer,Glascontainer
Schwarzwaldstraße;;;;;;Wertstoffcontainer,Glascontainer
Schwarzwaldstraße;;;;;;Wertstoffcontainer,Glascontainer
Schänzlestraße;;;;;;Wertstoffcontainer,Glascontainer
Sedanstraße;;;;;;Wertstoffcontainer,Glascontainer
Seestraße;;;;;;Wertstoffcontainer,Glascontainer
Seestraße;;;;;;Wertstoffcontainer,Glascontainer
Seestraße;;;;;;Wertstoffcontainer,Glascontainer
Seestraße;;;;;;Wertstoffcontainer,Glascontainer
Sichelstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Sonnhalde;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
St.-Elisabethen-Straße;;;;;;Wertstoffcontainer,Glascontainer
St.-Stephan-Straße;;;;;;Wertstoffcontainer,Glascontainer
Stadtstraße;;;;;;Wertstoffcontainer,Glascontainer
Staudinger Str.;;;;;;Wertstoffcontainer,Glascontainer
Staufener Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Stefan-Meier-Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Stefan-Meier-Straße;;;;;;Wertstoffcontainer,Glascontainer
Steinhalde;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Stockmattenweg;;;;;;Wertstoffcontainer,Glascontainer
Stöckenhöfe;;;;;;Wertstoffcontainer,Glascontainer
Sulzburger Str.;;;;;;Wertstoffcontainer,Glascontainer
Sundgauallee;;;;;;Wertstoffcontainer,Glascontainer
Sundgauallee;;;;;;Wertstoffcontainer,Glascontainer
Sundgauallee;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Tennenbacher Straße;;;;;;Wertstoffcontainer,Glascontainer
Tiengener Str.;;;;;;Wertstoffcontainer,Glascontainer
Tränkestraße;;;;;;Wertstoffcontainer,Glascontainer
Türkenlouisstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
UVZ Eichelbuck;Umschlag- und Verwertungszentrum Eichelbuck<br>Eichelbuckstraße 1<br>79108 Freiburg;;;;;UVZ,UVZ Eichelbuck,Wertstoffcontainer,Glascontainer,Kleidercontainer,Schnittgutplätze
Uffhauserstraße;;;;;;Wertstoffcontainer,Glascontainer
Unterer Mühlenweg;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Unteres Grün;;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Elektrokleingerätecontainer
Urachstr.;;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Metallcontainer,Elektrokleingerätecontainer
Vaubanallee;;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Metallcontainer,Elektrokleingerätecontainer
Verlorener Weg;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Vogesenstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Vorarlberger Weg;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Waldseestraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Waltershofener Straße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Wannerstraße;;;;;;Wertstoffinseln,Wertstoffcontainer,Glascontainer,Kleidercontainer,Elektrokleingerätecontainer
Wannerstraße;;;;;;Wertstoffcontainer,Glascontainer
Weierweg;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Weierweg;;;;;;Wertstoffcontainer,Glascontainer
Wendlinger Straße;;;;;;Wertstoffcontainer,Glascontainer
Wentzinger Straße;;;;;;Wertstoffcontainer,Glascontainer
Wilhelmstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Willy-Brandt-Allee;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Windhäuslegasse;;;;;;Wertstoffcontainer,Glascontainer
Wintererstraße;;;;;;Wertstoffcontainer,Glascontainer
Wintererstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Wirthstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Wirthstraße;;;;;;Wertstoffcontainer,Glascontainer
Wonnhaldestraße;;;;;;Wertstoffcontainer,Glascontainer
Wölflinstraße;;;;;;Wertstoffcontainer,Glascontainer
Ziegelhofstraße;;;;;;Wertstoffcontainer,Glascontainer,Kleidercontainer
Zu den Mühlmatten;;;;;;Wertstoffcontainer,Glascontainer
Zur Unterführung;;;;;;Wertstoffcontainer,Glascontainer
